REF_DATE_DT,RNFB_intp,CPI no adjusted,diesel_price,jet_price,LE Price,GF Price,ZW Price,DC Price,month_sin,month_cos,currency_rate,LE_lag_6M,LE_lag_8M,LE_lag_10M,LE_lag_12M,GF_lag_6M,GF_lag_8M,ZW_lag_6M,ZW_lag_8M,ZW_lag_10M,ZW_lag_12M,DC_lag_3M,DC_lag_4M,Diesel_Price_lag_1M,Diesel_Price_lag_2M,Jet_Price_lag_1M,Jet_Price_lag_2M,apparent_temperature,temperature_2m,WRSI,FDD,snowfall,WRSI_Anomaly,WRSI_state,apparent_temperature_lag_1m,apparent_temperature_lag_2m,apparent_temperature_lag_3m,temperature_2m_lag_1m,temperature_2m_lag_2m,temperature_2m_lag_3m,WRSI_lag_1m,WRSI_lag_2m,WRSI_lag_3m,FDD_lag_1m,FDD_lag_2m,FDD_lag_3m,snowfall_lag_1m,snowfall_lag_2m,snowfall_lag_3m,WRSI_Anomaly_lag_1m,WRSI_Anomaly_lag_2m,WRSI_Anomaly_lag_3m,WRSI_state_lag_1m,WRSI_state_lag_2m,WRSI_state_lag_3m,covid_flag,RNFB_w/out,CPI_lag_1m,CPI_change_rate,CPI_change_rate_lag_3m
201712,415.63,130.8,121.67647058823528,99.12,123.0,146.0,427.0,15.4,-0.0,1.0,0.7955,119.1,138.0,126.6,119.0,147.93,149.55,511.0,418.5,424.75,408.0,16.38,16.2,120.1470588235294,112.19411764705882,98.36,90.92,-22.40120967741936,-16.266263440860214,0.8819781983471036,515.2237903225806,0.0185349462365591,-65.98037634408601,1,-16.658472222222223,-9.07016129032258,-2.269861111111111,-10.064444444444444,-3.288306451612903,2.3722222222222222,1.196851027736676,1.119285016758861,1.1198014292232346,174.06,3636.1076612903225,3592.4395833333333,0.0582361111111111,0.0436559139784946,0.0094305555555555,24.00163483796296,387.5162130376344,384.3352517361112,0.0,2.0,2.0,0,415.63,131.3,-0.0038080731150038627,0.0022988505747127963
201801,417.79333333333335,131.7,125.11764705882354,103.66,123.85,145.05,451.75,13.4,0.5,0.866,0.8106,112.0,124.43,119.95,122.8,146.18,152.57,474.5,429.25,426.5,416.375,15.875,16.38,121.67647058823528,120.1470588235294,99.12,98.36,-33.95147849462366,-27.56505376344086,1.0627023538598703,1246.6198924731184,0.0109139784946236,82.25271785394263,2,-22.40120967741936,-16.658472222222223,-9.07016129032258,-16.266263440860214,-10.064444444444444,-3.288306451612903,0.8819781983471036,1.196851027736676,1.119285016758861,515.2237903225806,174.06,3636.1076612903225,0.0185349462365591,0.0582361111111111,0.0436559139784946,-65.98037634408601,24.00163483796296,387.5162130376344,1.0,0.0,2.0,0,422.12,130.8,0.006880733944953921,0.000764525993883769
201802,419.95666666666665,132.5,125.12941176470588,101.0,127.5,144.75,484.5,14.02,0.866,0.5,0.783,104.53,119.1,138.0,126.6,142.73,147.93,410.25,511.0,418.5,424.75,15.37,15.875,125.11764705882354,121.67647058823528,103.66,99.12,-34.42455357142857,-27.68467261904762,1.146064312581469,2109.004017857143,0.021875,269.0436290922619,2,-33.95147849462366,-22.40120967741936,-16.658472222222223,-27.56505376344086,-16.266263440860214,-10.064444444444444,1.0627023538598703,0.8819781983471036,1.196851027736676,1246.6198924731184,515.2237903225806,174.06,0.0109139784946236,0.0185349462365591,0.0582361111111111,82.25271785394263,-65.98037634408601,24.00163483796296,2.0,1.0,0.0,0,422.12,131.7,0.006074411541381997,0.0030557677616500634
201803,422.12,132.9,124.7,101.08,113.75,135.6,451.0,14.23,1.0,0.0,0.7747,109.1,112.0,124.43,119.95,152.23,146.18,448.25,474.5,429.25,426.5,15.4,15.37,125.12941176470588,125.11764705882354,101.0,103.66,-20.69650537634409,-14.764650537634408,1.06523025314169,2672.2245967741933,0.0314247311827957,160.52179099462367,2,-34.42455357142857,-33.95147849462366,-22.40120967741936,-27.68467261904762,-27.56505376344086,-16.266263440860214,1.146064312581469,1.0627023538598703,0.8819781983471036,2109.004017857143,1246.6198924731184,515.2237903225806,0.021875,0.0109139784946236,0.0185349462365591,269.0436290922619,82.25271785394263,-65.98037634408601,2.0,2.0,1.0,0,422.12,132.5,0.0030188679245284344,-0.0038080731150038627
201804,422.7166666666667,133.3,125.80588235294115,104.14,109.4,141.5,488.625,14.9,0.866,-0.5,0.7788,114.5,104.53,119.1,138.0,153.20499999999998,142.73,428.75,410.25,511.0,418.5,13.4,15.4,124.7,125.12941176470588,101.08,101.0,-18.484166666666667,-12.069444444444445,1.0387736142469497,3082.8352777777777,0.016625,115.47616319444448,2,-20.69650537634409,-34.42455357142857,-33.95147849462366,-14.764650537634408,-27.68467261904762,-27.56505376344086,1.06523025314169,1.146064312581469,1.0627023538598703,2672.2245967741933,2109.004017857143,1246.6198924731184,0.0314247311827957,0.021875,0.0109139784946236,160.52179099462367,269.0436290922619,82.25271785394263,2.0,2.0,2.0,0,423.91,132.9,0.0030097817908201208,0.006880733944953921
201805,423.3133333333333,133.4,130.6235294117647,109.84,105.05,147.4,526.25,15.57,0.5,-0.866,0.7756,119.9,109.1,112.0,124.43,154.18,152.23,409.25,448.25,474.5,429.25,14.02,13.4,125.80588235294115,124.7,104.14,101.08,-12.53991935483871,-6.658467741935484,1.072037947021046,3396.724059139785,0.0242741935483871,228.49354838709675,2,-18.484166666666667,-20.69650537634409,-34.42455357142857,-12.069444444444445,-14.764650537634408,-27.68467261904762,1.0387736142469497,1.06523025314169,1.146064312581469,3082.8352777777777,2672.2245967741933,2109.004017857143,0.016625,0.0314247311827957,0.021875,115.47616319444448,160.52179099462367,269.0436290922619,2.0,2.0,2.0,0,423.91,133.3,0.0007501875468867159,0.006074411541381997
201806,423.91,133.6,132.01764705882354,108.08,107.0,151.32,497.5,15.27,0.0,-1.0,0.7544,123.0,114.5,104.53,119.1,146.0,153.20499999999998,427.0,428.75,410.25,511.0,14.23,14.02,130.6235294117647,125.80588235294115,109.84,104.14,-2.8169444444444447,1.4995833333333333,1.0824170532194153,3471.2745833333333,0.0191527777777777,264.3087500000001,2,-12.53991935483871,-18.484166666666667,-20.69650537634409,-6.658467741935484,-12.069444444444445,-14.764650537634408,1.072037947021046,1.0387736142469497,1.06523025314169,3396.724059139785,3082.8352777777777,2672.2245967741933,0.0242741935483871,0.016625,0.0314247311827957,228.49354838709675,115.47616319444448,160.52179099462367,2.0,2.0,2.0,0,423.91,133.4,0.0014992503748125774,0.0030188679245284344
201807,423.3733333333333,134.3,130.38823529411764,106.9,106.9,150.385,508.0,15.895,-0.5,-0.866,0.7676,123.85,119.9,109.1,112.0,145.05,154.18,451.75,409.25,448.25,474.5,14.9,14.23,132.01764705882354,130.6235294117647,108.08,109.84,5.1049731182795695,8.316666666666666,1.0826417175862646,3472.0666666666666,0.0,265.0346354166668,2,-2.8169444444444447,-12.53991935483871,-18.484166666666667,1.4995833333333333,-6.658467741935484,-12.069444444444445,1.0824170532194153,1.072037947021046,1.0387736142469497,3471.2745833333333,3396.724059139785,3082.8352777777777,0.0191527777777777,0.0242741935483871,0.016625,264.3087500000001,228.49354838709675,115.47616319444448,2.0,2.0,2.0,0,422.3,133.6,0.0052395209580839985,0.0030097817908201208
201808,422.8366666666667,134.2,129.43529411764706,105.22,106.8,149.45,518.5,16.52,-0.866,-0.5,0.7701,127.5,123.0,114.5,104.53,144.75,146.0,484.5,427.0,428.75,410.25,15.57,14.9,130.38823529411764,132.01764705882354,106.9,108.08,2.7298387096774195,6.599865591397849,1.0826417175862646,3472.0666666666666,0.0004704301075268,265.0346354166668,2,5.1049731182795695,-2.8169444444444447,-12.53991935483871,8.316666666666666,1.4995833333333333,-6.658467741935484,1.0826417175862646,1.0824170532194153,1.072037947021046,3472.0666666666666,3471.2745833333333,3396.724059139785,0.0,0.0191527777777777,0.0242741935483871,265.0346354166668,264.3087500000001,228.49354838709675,2.0,2.0,2.0,0,422.3,134.3,-0.0007446016381237319,0.0007501875468867159
201809,422.3,133.7,130.9764705882353,108.38,113.45,158.18,509.0,16.11,-1.0,-0.0,0.7743,113.75,123.85,119.9,109.1,135.6,145.05,451.0,451.75,409.25,448.25,15.27,15.57,129.43529411764706,130.38823529411764,105.22,106.9,-2.9140277777777777,1.7766666666666668,1.082684068476712,3473.363611111111,0.0403472222222222,265.2592795138889,2,2.7298387096774195,5.1049731182795695,-2.8169444444444447,6.599865591397849,8.316666666666666,1.4995833333333333,1.0826417175862646,1.0826417175862646,1.0824170532194153,3472.0666666666666,3472.0666666666666,3471.2745833333333,0.0004704301075268,0.0,0.0191527777777777,265.0346354166668,265.0346354166668,264.3087500000001,2.0,2.0,2.0,0,422.3,134.2,-0.0037257824143069884,0.0014992503748125774
